Id,idParadero,idRuta
427,78,203
428,78,204
429,78,205
430,78,206
431,78,207
432,78,208
433,78,237
434,78,239
435,78,241
436,78,242
437,78,243
438,78,244
439,78,3
440,78,5
441,78,4
442,78,6
443,78,15
444,78,16
445,78,19
446,78,20
447,78,21
448,78,22
449,78,23
450,78,26
451,78,39
452,78,40
453,78,41
454,78,42
455,78,43
456,78,45
457,78,44
458,78,46
459,78,63
460,78,64
461,78,77
462,78,78
463,78,85
464,78,86
465,78,87
466,78,88
467,78,101
468,78,102
469,78,117
470,78,118
473,78,229
474,78,230
475,79,211
476,79,212
479,79,231
480,79,232
483,79,241
484,79,242
487,79,57
488,79,59
491,79,119
492,79,120
517,81,203
518,81,204
519,81,205
520,81,206
521,81,217
522,81,218
523,81,17
524,81,18
525,81,29
526,81,30
527,81,37
528,81,38
529,81,47
530,81,48
531,81,49
532,81,50
533,81,51
534,81,52
535,81,53
536,81,55
537,81,65
538,81,67
541,81,69
542,81,70
543,81,83
544,81,84
545,81,89
546,81,90
547,81,91
548,81,93
551,81,97
552,81,98
553,81,109
554,81,110
555,81,215
556,81,216
557,81,233
558,81,234
561,81,237
562,81,239
563,81,241
564,81,242
565,81,243
566,81,244
567,81,245
568,81,246
569,81,247
570,81,248
571,82,207
572,82,208
573,82,209
574,82,210
575,82,211
576,82,212
577,82,1
578,82,2
579,82,7
580,82,8
581,82,31
582,82,33
585,82,35
586,82,36
587,82,71
588,82,72
589,82,73
590,82,75
591,82,79
592,82,81
593,82,99
594,82,100
597,82,111
598,82,112
599,82,113
600,82,114
601,82,213
602,82,214
603,82,217
604,82,218
605,82,229
606,82,230
607,83,207
608,83,208
609,83,209
610,83,210
611,83,211
612,83,212
637,87,205
638,88,206
639,89,205
640,90,206
641,91,205
642,92,206
643,93,205
644,94,206
645,95,205
646,96,206
647,97,205
648,98,206
649,99,205
650,100,206
651,101,206
652,102,205
653,103,205
654,104,206
655,105,205
656,106,206
657,107,205
658,108,206
659,109,206
660,109,116
661,110,205
662,110,115
663,111,203
664,111,204
665,111,205
666,111,206
667,112,203
668,112,204
669,112,205
670,112,206
671,113,211
672,113,212
673,114,211
674,114,212
675,115,207
676,115,208
677,115,209
678,115,210
679,115,211
680,115,212
681,116,207
682,116,208
683,116,209
684,116,210
685,116,211
686,116,212
687,117,207
688,117,208
689,117,209
690,117,210
691,117,211
692,117,212
693,118,211
694,118,212
695,119,211
696,119,212
697,120,205
698,120,206
699,120,211
700,120,212
703,121,205
704,121,206
705,121,211
706,121,212
709,122,205
710,122,206
711,122,211
712,122,212
715,123,205
716,123,206
717,123,211
718,123,212
719,123,227
723,124,205
724,124,206
725,124,211
726,124,212
729,125,207
730,125,208
731,125,209
732,125,210
733,125,211
734,125,212
735,126,203
736,126,204
737,126,209
738,126,210
739,126,211
740,126,212
741,127,207
742,127,208
743,127,209
744,127,210
745,127,211
746,127,212
747,128,203
748,128,204
749,128,207
750,128,208
751,129,205
752,129,206
753,129,211
754,129,212
757,130,205
758,130,206
759,130,211
760,130,212
761,131,203
762,131,204
763,131,205
764,131,206
765,131,209
766,131,210
767,132,203
768,132,204
769,132,206
770,132,209
771,132,210
772,133,203
773,133,204
774,133,209
775,133,210
776,134,205
777,135,206
778,136,203
779,136,204
780,136,207
781,136,208
782,137,203
783,137,204
784,137,207
785,137,208
786,138,203
787,138,204
788,138,207
789,138,208
790,139,203
791,139,204
792,139,207
793,139,208
794,140,203
795,140,204
796,140,207
797,140,208
798,140,229
799,140,230
800,140,15
801,140,16
802,140,41
803,140,42
804,140,63
805,140,64
806,140,101
807,140,102
808,140,226
809,141,203
810,141,204
811,141,209
812,141,210
813,142,203
814,142,204
815,142,209
816,142,210
817,143,203
818,143,204
819,143,209
820,143,210
821,144,203
822,144,204
823,144,209
824,144,210
825,145,203
826,145,204
827,145,209
828,145,210
829,146,203
830,146,204
831,146,209
832,146,210
833,147,203
834,147,204
835,147,209
836,147,210
837,148,205
838,148,206
839,149,205
840,149,206
841,150,205
842,150,206
843,151,203
844,151,204
845,151,207
846,151,208
847,152,205
848,152,206
849,153,203
850,153,204
851,153,209
852,153,210
853,154,203
854,154,204
855,154,209
856,154,210
857,155,203
858,155,204
859,155,205
860,155,206
861,155,209
862,155,210
863,155,13
864,155,14
869,78,268
870,78,269
871,82,272
872,82,273
873,165,335
874,165,336
875,165,337
876,165,338
877,165,340
878,165,339
879,161,337
880,161,335
881,161,336
882,161,338
883,161,339
884,161,340
885,163,336
886,163,338
887,163,335
888,163,337
889,163,339
890,163,340
897,159,335
898,159,337
899,159,339
900,160,336
901,160,338
902,160,340
903,166,335
904,166,336
905,166,337
906,166,338
907,166,339
908,166,340
909,157,335
910,157,336
911,157,337
912,157,338
913,157,339
914,157,340
915,156,335
916,156,336
917,156,337
918,156,338
919,156,339
920,156,340
921,157,275
922,157,276
923,157,10
925,157,277
926,157,12
927,157,278
928,157,61
929,157,297
930,157,302
931,157,322
932,157,298
933,157,321
934,157,301
935,157,62
937,157,119
938,157,120
940,156,314
942,156,313
943,156,285
944,156,286
945,156,291
946,156,293
947,156,292
948,156,294
949,156,295
950,156,296
951,157,226
952,157,225
953,157,247
954,157,248
955,156,219
956,156,220
957,156,243
958,156,244
959,156,327
960,156,328
961,146,337
962,146,338
963,145,337
964,145,338
965,144,337
966,144,338
967,154,337
968,154,338
969,142,337
970,142,338
971,141,337
972,141,338
973,133,338
974,133,337
975,132,337
976,132,338
977,131,338
978,131,337
979,130,337
980,130,338
981,129,337
982,129,338
983,123,337
984,123,338
985,122,337
986,122,338
987,124,337
988,124,338
989,121,337
990,121,338
991,120,337
992,120,338
993,85,337
994,85,338
995,84,337
996,84,338
997,146,339
998,146,340
999,144,340
1000,145,340
1001,79,219
1002,79,220
1003,82,252
1004,82,253
1005,82,74
1006,82,76
1007,82,82
1008,82,80
1009,82,257
1010,82,256
1011,82,299
1012,82,300
1013,82,303
1014,82,304
1015,82,309
1016,82,310
1017,82,315
1018,82,316
1019,82,325
1020,82,326
1021,78,254
1022,78,255
1023,81,305
1024,81,307
1025,81,308
1026,81,311
1027,81,306
1028,81,312
1029,81,317
1030,81,318
1031,81,319
1032,81,320
1033,81,323
1034,81,324
1037,81,327
1038,81,328
1039,78,327
1040,78,328
1041,157,213
1042,157,214
1043,157,245
1044,157,246
1045,162,335
1046,162,340
1047,162,336
1048,162,337
1049,162,338
1050,162,339
1052,82,345
1053,82,346
1054,83,345
1055,83,346
1056,115,345
1057,115,346
1058,116,345
1059,116,346
1060,117,345
1061,117,346
1062,125,345
1063,125,346
1064,127,345
1065,127,346
1066,126,345
1067,126,346
1068,131,345
1069,131,346
1070,132,345
1071,132,346
1072,133,345
1073,133,346
1074,141,345
1075,141,346
1076,142,345
1077,142,346
1078,143,345
1079,143,346
1080,144,345
1081,144,346
1082,145,345
1083,145,346
1084,146,345
1085,146,346
1086,147,345
1087,147,346
1088,153,345
1089,153,346
1090,154,345
1091,154,346
1092,155,345
1093,155,346
1094,111,345
1095,111,346
1096,112,345
1097,112,346
1098,111,209
1099,111,210
1100,112,209
1101,112,210
1102,81,209
1103,81,210
1104,109,14
1105,110,13
1106,151,63
1107,151,64
1108,140,254
1109,140,255
1110,151,101
1111,151,254
1112,151,102
1113,151,255
1114,84,103
1115,84,104
1116,85,104
1117,85,103
1118,120,103
1119,120,104
1120,121,103
1121,121,104
1122,124,103
1123,124,104
1124,122,104
1125,123,104
1126,155,115
1127,155,116
1128,155,321
1129,155,322
1130,109,322
1131,110,321
1132,107,321
1133,108,322
1134,105,321
1135,106,322
1136,103,321
1137,104,322
1138,132,227
1139,129,227
1140,129,104
1141,129,103
1142,78,348
1143,78,347
1144,81,347
1145,81,348
1146,151,227
1147,151,228
1148,123,231
1150,122,231
1151,109,245
1152,110,246
1153,157,349
1154,157,350
1155,79,352
1157,79,351
1158,156,357
1159,156,358
1160,157,359
1161,157,360
1162,157,361
1163,157,362
1164,157,225
1165,157,226
1166,156,363
1167,156,364
1170,156,369
1171,156,370
1173,129,300
1174,129,299
